Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,
AIMOTIVE INC.,AVT036,2021.03.04.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.03.16.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.03.16.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.03.16.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.02.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.02.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.13.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,"	2021.04.14. ",JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.16.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",
AIMOTIVE INC.,AVT036,2021.04.16.,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",
