Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT
AIMOTIVE INC.,AVT036,2021.12.06. 10:39:23,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
AIMOTIVE INC.,AVT036,2021.12.06. 13:18:07,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
AIMOTIVE INC.,AVT036,2021.12.06. 14:13:57,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
AIMOTIVE INC.,AVT036,2021.12.06. 14:29:15,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Another vehicle approaching target lane when the test vehicle inititated a lane change. Limitation in software. This was a case of two vehicles trying to occupy the same space in a lane. Our software has a limitation in that we do not (yet) cancel lane changes once it has been initiated; however, we do cancel lane changes if the software deems it unsafe prior to the actual maneuver. In this case we had already started the maneuver, therefore the driver had to take over. This isn’t a software bug, it’s a known issue that is being worked on. Conditions: Non-inclement weather, dry roads, no other factors involved."
AIMOTIVE INC.,AVT036,2021.12.06. 14:34:06,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
AIMOTIVE INC.,AVT036,2021.12.06. 14:54:44,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved"
AIMOTIVE INC.,AVT036,2021.12.07. 13:01:59,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"During the lane change the test vehicle could have got too close to another vehicle in the target lane. Root cause:  object detection issue. Conditions: Non-inclement weather, dry roads, no other factors involved."
AIMOTIVE INC.,AVT036,2021.12.08. 13:30:00,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"The test vehicle could not perform the lane change into the exit lane or merge to highway and could not follow the planned route. Root cause: traffic situation. Conditions: Non-inclement weather, dry roads, no other factors involved."
AIMOTIVE INC.,AVT036,2021.12.13. 13:20:20,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,"Unnecessary lane change, the test vehicle did not follow the planned route. Root cause: Navigation/Localisation issue. Conditions: Non-inclement weather, dry roads, no other factors involved"
AIMOTIVE INC.,AVT036,2021.12.15. 10:37:22,4T1B21HK6KU514747,No,Yes,Test driver,Freeway,The test vehicle attepted to lane change to shoulder/express lane. Root cause:  lane detection or map issue.
