Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,incident_day_of_week,incident_month
AIMOTIVE INC.,AVT036,2021-03-04 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,March
AIMOTIVE INC.,AVT036,2021-03-16 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,March
AIMOTIVE INC.,AVT036,2021-03-16 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,March
AIMOTIVE INC.,AVT036,2021-03-16 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,March
AIMOTIVE INC.,AVT036,2021-04-02 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,April
AIMOTIVE INC.,AVT036,2021-04-02 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,April
AIMOTIVE INC.,AVT036,2021-04-13 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,April
AIMOTIVE INC.,AVT036,2021-04-14 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,April
AIMOTIVE INC.,AVT036,2021-04-16 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,April
AIMOTIVE INC.,AVT036,2021-04-16 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,April
AIMOTIVE INC.,AVT036,2021-04-16 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,April
AIMOTIVE INC.,AVT036,2021-04-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuvre a truck on the right lane wanted to make lane change into our lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the left lane, but tended to the right lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Lane change did not happen in time in an exit/merge situation - therefore disengaged
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-19 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. 
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-21 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,April
AIMOTIVE INC.,AVT036,2021-04-21 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,April
AIMOTIVE INC.,AVT036,2021-04-26 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,April
AIMOTIVE INC.,AVT036,2021-04-27 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,April
AIMOTIVE INC.,AVT036,2021-04-27 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,April
AIMOTIVE INC.,AVT036,2021-04-27 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,April
AIMOTIVE INC.,AVT036,2021-04-28 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,April
AIMOTIVE INC.,AVT036,2021-05-06 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During the lane change maneuver the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,May
AIMOTIVE INC.,AVT036,2021-05-06 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,May
AIMOTIVE INC.,AVT036,2021-05-06 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Thursday,May
AIMOTIVE INC.,AVT036,2021-05-07 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,May
AIMOTIVE INC.,AVT036,2021-05-07 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"Exit/Merge Lane departure, due to the car missing the lane
Conditions: Non-inclement weather, dry roads, no other factors involved",Friday,May
AIMOTIVE INC.,AVT036,2021-05-10 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Monday,May
AIMOTIVE INC.,AVT036,2021-05-12 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,May
AIMOTIVE INC.,AVT036,2021-05-12 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The software gave back control to the driver, due to a minor system error
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,May
AIMOTIVE INC.,AVT036,2021-05-12 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,May
AIMOTIVE INC.,AVT036,2021-05-12 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"During an exit/merge the test vehicle was going the ""correct"" speed as posted by road signs, but was going too slow or too fast given the traffic and road conditions. Conditions: Non-inclement weather, dry roads, no other factors involved",Wednesday,May
AIMOTIVE INC.,AVT036,2021-05-18 00:00:00,JTDKN3DU9A0059509,No,Yes,Test Driver,Freeway,"The car should have stayed in the right lane, but went in the left lane.
Conditions: Non-inclement weather, dry roads, no other factors involved",Tuesday,May
